,Unnamed: 0,Date,Minutes Asleep
0,0,2018-01-02,510
1,1,2018-01-30,463
2,2,2018-01-31,479
3,3,2018-02-01,465
4,4,2018-02-02,624
5,5,2018-02-03,285
6,6,2018-02-04,603
7,7,2018-02-05,353
8,8,2018-02-06,372
9,9,2018-02-07,522
10,10,2018-02-08,598
11,11,2018-02-09,456
12,12,2018-02-10,410
13,13,2018-02-11,627
14,14,2018-02-12,485
15,15,2018-02-13,410
16,16,2018-02-14,373
17,17,2018-02-15,419
18,18,2018-02-16,464
19,19,2018-02-17,537
20,20,2018-02-18,511
21,21,2018-02-19,410
22,22,2018-02-20,365
23,23,2018-02-21,540
24,24,2018-02-22,501
25,25,2018-02-23,251
26,26,2018-02-24,652
27,27,2018-02-25,425
28,28,2018-02-26,382
29,29,2018-03-01,307
30,30,2018-03-02,490
31,31,2018-03-03,512
32,32,2018-03-04,436
33,33,2018-03-05,485
34,34,2018-03-06,521
35,35,2018-03-07,560
36,36,2018-03-08,631
37,37,2018-03-13,255
38,38,2018-03-14,497
39,39,2018-03-15,449
40,40,2018-03-18,514
41,41,2018-03-19,420
42,42,2018-03-20,428
43,43,2018-03-21,490
44,44,2018-03-22,386
45,45,2018-03-23,317
46,46,2018-03-25,473
47,47,2018-03-26,518
48,48,2018-03-27,479
49,49,2018-03-28,452
50,50,2018-03-29,451
51,51,2018-03-30,441
52,52,2018-03-31,583
53,53,2018-04-01,385
54,54,2018-04-02,485
55,55,2018-04-03,392
56,56,2018-04-04,508
57,57,2018-04-05,476
58,58,2018-04-06,392
59,59,2018-04-07,594
60,60,2018-04-08,536
61,61,2018-04-09,485
62,62,2018-04-10,371
63,63,2018-04-11,506
64,64,2018-04-12,545
65,65,2018-04-13,366
66,66,2018-04-14,593
67,67,2018-04-15,546
68,68,2018-04-16,468
69,69,2018-04-17,408
70,70,2018-04-18,425
71,71,2018-04-19,466
72,72,2018-04-20,451
73,73,2018-04-21,551
74,74,2018-04-24,341
75,75,2018-04-26,384
76,76,2018-04-27,586
77,77,2018-04-28,558
78,78,2018-04-29,468
79,79,2018-04-30,483
80,80,2018-05-01,419
81,81,2018-05-02,471
82,82,2018-05-03,217
83,83,2018-05-04,185
84,84,2018-05-05,577
85,85,2018-05-06,452
86,86,2018-05-07,475
0,0,2018-06-01,513
1,1,2018-06-02,291
2,2,2018-06-03,496
3,3,2018-06-05,591
4,4,2018-06-06,300
5,5,2018-06-07,442
6,6,2018-06-10,116
7,7,2018-06-11,553
8,8,2018-06-12,339
9,9,2018-06-13,459
10,10,2018-06-14,347
11,11,2018-06-16,453
12,12,2018-06-17,581
13,13,2018-06-18,389
14,14,2018-06-19,520
15,15,2018-06-20,426
16,16,2018-06-21,367
17,17,2018-06-22,399
18,18,2018-06-23,126
19,19,2018-06-24,617
20,20,2018-06-25,409
21,21,2018-06-26,496
22,22,2018-06-27,364
23,23,2018-06-28,418
24,24,2018-06-29,391
25,25,2018-06-30,551
26,26,2018-07-01,579
27,27,2018-07-02,414
28,28,2018-07-03,300
29,29,2018-07-05,448
30,30,2018-07-06,421
31,31,2018-07-07,631
32,32,2018-07-09,409
33,33,2018-07-10,386
34,34,2018-07-11,428
35,35,2018-07-12,347
36,36,2018-07-13,568
37,37,2018-07-14,176
38,38,2018-07-15,752
39,39,2018-07-16,566
40,40,2018-07-17,155
41,41,2018-07-20,347
42,42,2018-07-21,310
43,43,2018-07-22,99
44,44,2018-07-23,418
45,45,2018-07-24,447
46,46,2018-07-25,460
47,47,2018-07-26,529
48,48,2018-07-29,649
49,49,2018-07-30,388
50,50,2018-07-31,402
51,51,2018-08-01,455
52,52,2018-08-02,526
53,53,2018-08-03,466
54,54,2018-08-04,595
55,55,2018-08-05,563
56,56,2018-08-06,452
57,57,2018-08-07,393
58,58,2018-08-08,454
59,59,2018-08-09,467
60,60,2018-08-10,352
61,61,2018-08-11,362
62,62,2018-08-12,476
63,63,2018-08-13,547
64,64,2018-08-14,377
65,65,2018-08-15,403
66,66,2018-08-16,404
67,67,2018-08-17,397
68,68,2018-08-18,600
69,69,2018-08-19,767
70,70,2018-08-20,602
71,71,2018-08-21,503
72,72,2018-08-26,268
73,73,2018-08-27,539
74,74,2018-08-28,493
75,75,2018-08-29,559
76,76,2018-08-30,568
77,77,2018-08-31,441
78,78,2018-09-01,695
79,79,2018-09-02,505
80,80,2018-09-03,386
81,81,2018-09-04,507
82,82,2018-09-05,119
83,83,2018-09-06,567
84,84,2018-09-07,585
85,85,2018-09-08,301
86,86,2018-09-09,594
87,87,2018-09-10,309
88,88,2018-09-11,586
89,89,2018-09-12,564
90,90,2018-09-13,503
91,91,2018-09-14,503
92,92,2018-09-15,608
93,93,2018-09-16,644
94,94,2018-09-17,437
95,95,2018-09-18,447
96,96,2018-09-19,435
97,97,2018-09-21,525
98,98,2018-09-22,370
99,99,2018-09-23,638
100,100,2018-09-24,389
101,101,2018-09-25,327
102,102,2018-09-26,462
103,103,2018-09-27,533
104,104,2018-09-29,483
105,105,2018-09-30,482
106,106,2018-10-01,369
107,107,2018-10-02,391
108,108,2018-10-03,343
109,109,2018-10-04,416
110,110,2018-10-05,488
111,111,2018-10-06,414
112,112,2018-10-07,596
113,113,2018-10-08,592
114,114,2018-10-09,355
115,115,2018-10-10,350
116,116,2018-10-11,565
117,117,2018-10-12,498
118,118,2018-10-13,426
119,119,2018-10-14,484
120,120,2018-10-15,457
121,121,2018-10-16,541
122,122,2018-10-17,308
123,123,2018-10-18,278
124,124,2018-10-19,443
125,125,2018-10-20,142
126,126,2018-10-21,239
127,127,2018-10-23,475
128,128,2018-10-24,332
129,129,2018-10-25,523
130,130,2018-10-26,587
131,131,2018-10-28,586
132,132,2018-10-29,376
133,133,2018-10-30,454
134,134,2018-10-31,479
