,Date,Calories,Steps,Distance,Minutessedentary,Minuteslightlyactive,Minutesfairlyactive,Minutesveryactive,Minutes Asleep,Week Day
0,2018-01-01,1502,80,0.03325578619584,1432,8,0,0,,Monday
1,2018-01-02,1911,4995,2.0764050437468,744,158,9,3,510.0,Tuesday
2,2018-01-03,1547,540,0.22447655682192,1416,24,0,0,,Wednesday
3,2018-01-04,1641,2306,0.95859555161032,1387,23,28,2,,Thursday
4,2018-01-05,1648,2516,1.0458919903744,1394,46,0,0,,Friday
5,2018-01-06,1488,0,0.0,1440,0,0,0,,Saturday
6,2018-01-07,1489,0,0.0,1440,0,0,0,,Sunday
7,2018-01-08,1490,0,0.0,1440,0,0,0,,Monday
8,2018-01-09,1490,0,0.0,1440,0,0,0,,Tuesday
9,2018-01-10,1490,0,0.0,1440,0,0,0,,Wednesday
10,2018-01-11,1491,0,0.0,1440,0,0,0,,Thursday
11,2018-01-12,1491,0,0.0,1440,0,0,0,,Friday
12,2018-01-13,1491,0,0.0,1440,0,0,0,,Saturday
13,2018-01-14,1492,0,0.0,1440,0,0,0,,Sunday
14,2018-01-15,1488,0,0.0,1440,0,0,0,,Monday
15,2018-01-16,1487,0,0.0,1440,0,0,0,,Tuesday
16,2018-01-17,1486,0,0.0,1440,0,0,0,,Wednesday
17,2018-01-18,1486,0,0.0,1440,0,0,0,,Thursday
18,2018-01-19,1485,0,0.0,1440,0,0,0,,Friday
19,2018-01-20,1485,0,0.0,1440,0,0,0,,Saturday
20,2018-01-21,1485,0,0.0,1440,0,0,0,,Sunday
21,2018-01-22,1485,0,0.0,1440,0,0,0,,Monday
22,2018-01-23,1485,0,0.0,1440,0,0,0,,Tuesday
23,2018-01-24,1485,0,0.0,1440,0,0,0,,Wednesday
24,2018-01-25,1485,0,0.0,1440,0,0,0,,Thursday
25,2018-01-26,1485,0,0.0,1440,0,0,0,,Friday
26,2018-01-27,1485,0,0.0,1440,0,0,0,,Saturday
27,2018-01-28,1485,2516,1.0458919903744,1440,0,0,0,,Sunday
28,2018-01-29,1485,0,0.0,1440,0,0,0,,Monday
29,2018-01-30,2041,8022,3.33471898981832,796,95,14,41,463.0,Tuesday
30,2018-01-31,2354,11985,4.98212936260832,668,205,20,40,479.0,Wednesday
31,2018-02-01,1812,3692,1.53474956196848,830,103,13,6,465.0,Thursday
32,2018-02-02,2119,8301,3.4506979228051198,572,170,16,26,624.0,Friday
33,2018-02-03,1981,5208,2.1649504386068,913,187,9,3,285.0,Saturday
34,2018-02-04,1856,3640,1.51313827191072,629,167,0,0,603.0,Sunday
35,2018-02-05,2088,7956,3.30728545169152,915,146,19,25,353.0,Monday
36,2018-02-06,2344,12715,5.30283146222336,842,125,15,70,372.0,Tuesday
37,2018-02-07,2273,11220,4.66412401396656,672,149,32,44,522.0,Wednesday
38,2018-02-08,1998,7278,3.02544390642416,691,92,18,29,598.0,Thursday
39,2018-02-09,2084,8234,3.42284806597968,777,127,18,28,456.0,Friday
40,2018-02-10,2129,7457,3.09985310666616,767,232,3,8,410.0,Saturday
41,2018-02-11,1890,4331,1.80037953283656,615,146,6,0,627.0,Sunday
42,2018-02-12,2383,12563,5.22240117513088,654,167,35,61,485.0,Monday
43,2018-02-13,2078,7094,2.94895311268896,812,174,8,20,410.0,Tuesday
44,2018-02-14,2721,18468,7.73103202003288,737,168,44,98,373.0,Wednesday
45,2018-02-15,2110,8533,3.54714094551544,830,108,20,46,419.0,Thursday
46,2018-02-16,2050,7879,3.2752786215916,789,124,17,18,464.0,Friday
47,2018-02-17,1951,6130,2.54822461725624,730,112,17,13,537.0,Saturday
48,2018-02-18,1928,5918,2.46009554109488,779,94,11,22,511.0,Sunday
49,2018-02-19,2403,12728,5.6165431359284,784,168,21,47,410.0,Monday
50,2018-02-20,2198,10042,4.17442759126328,843,147,11,36,365.0,Tuesday
51,2018-02-21,2415,13158,5.4697441918184,612,178,26,64,540.0,Wednesday
52,2018-02-22,1996,6685,2.77893352713392,761,131,12,18,501.0,Thursday
53,2018-02-23,2246,9479,3.9403943455084,924,213,10,30,251.0,Friday
54,2018-02-24,1808,3345,1.3905044534576,635,133,0,0,652.0,Saturday
55,2018-02-25,1864,3526,1.46574629109688,831,164,0,0,425.0,Sunday
56,2018-02-26,2678,16986,7.44576050578568,727,215,24,69,382.0,Monday
57,2018-02-27,1744,2478,1.03009673467376,1329,106,5,0,,Tuesday
58,2018-02-28,2528,15653,6.5069059169452,1170,150,32,88,,Wednesday
59,2018-03-01,2336,11358,4.7214890024119995,857,210,17,37,307.0,Thursday
60,2018-03-02,2367,11508,4.7838436015292,634,221,24,49,490.0,Friday
61,2018-03-03,2069,7045,2.9285845650152,693,191,5,8,512.0,Saturday
62,2018-03-04,2203,9405,3.9096302577924797,748,148,43,33,436.0,Sunday
63,2018-03-05,2098,6051,2.51537893604712,660,249,5,0,485.0,Monday
64,2018-03-06,2073,6862,2.85251008997864,683,140,20,34,521.0,Tuesday
65,2018-03-07,1929,4245,1.7646320481608,678,173,0,0,560.0,Wednesday
66,2018-03-08,1921,4624,1.96315393029288,616,137,2,7,631.0,Thursday
67,2018-03-09,1504,0,0.0,1440,0,0,0,,Friday
68,2018-03-10,1505,0,0.0,1440,0,0,0,,Saturday
69,2018-03-11,1505,0,0.0,1440,0,0,0,,Sunday
70,2018-03-12,2371,11893,5.02044311030704,1176,197,31,36,,Monday
71,2018-03-13,2238,10210,4.24426971324408,954,146,15,47,255.0,Tuesday
72,2018-03-14,2453,13781,5.785276483116,684,167,34,51,497.0,Wednesday
73,2018-03-15,2187,9351,3.8871801166255198,788,130,19,45,449.0,Thursday
74,2018-03-16,2089,8871,3.68764539945048,1296,77,19,48,,Friday
75,2018-03-17,1754,2267,0.94238397721104,1334,106,0,0,,Saturday
76,2018-03-18,1935,4231,1.75880980009176,710,176,7,2,514.0,Sunday
77,2018-03-19,2432,13332,5.5420717985672,744,179,18,53,420.0,Monday
78,2018-03-20,2249,10413,4.32865192111768,756,145,13,51,428.0,Tuesday
79,2018-03-21,2337,11389,4.79396573824688,703,172,24,35,490.0,Wednesday
80,2018-03-22,2231,9780,4.06551986244144,833,141,9,55,386.0,Thursday
81,2018-03-23,1959,5931,2.46549525675336,969,123,7,20,317.0,Friday
82,2018-03-24,1723,1638,0.68091097961744,1343,97,0,0,,Saturday
83,2018-03-25,1760,2401,0.99808369086192,855,100,0,0,473.0,Sunday
84,2018-03-26,2494,14059,5.84428810522024,614,224,17,49,518.0,Monday
85,2018-03-27,2631,16267,7.46414687935696,711,127,19,87,479.0,Tuesday
86,2018-03-28,3006,22675,9.831490342622,613,156,48,145,452.0,Wednesday
87,2018-03-29,2838,18988,8.62726054510216,648,181,25,98,451.0,Thursday
88,2018-03-30,2279,10158,4.2226522094744,714,254,11,10,441.0,Friday
89,2018-03-31,1869,3727,1.54930207528512,682,143,6,5,583.0,Saturday
90,2018-04-01,1830,3521,1.46366469760368,898,131,0,0,385.0,Sunday
91,2018-04-02,2908,20499,9.2535840655024,620,193,16,101,485.0,Monday
92,2018-04-03,3104,23061,10.86003364931576,699,153,40,134,392.0,Tuesday
93,2018-04-04,2904,21752,9.04224329567936,573,195,52,102,508.0,Wednesday
94,2018-04-05,2267,10831,4.50241216124856,724,187,12,16,476.0,Thursday
95,2018-04-06,3322,26594,12.46443270819552,666,165,23,162,392.0,Friday
96,2018-04-07,2336,10644,4.42467862512936,535,240,11,32,594.0,Saturday
97,2018-04-08,1765,2109,0.87670504221664,773,113,0,0,536.0,Sunday
98,2018-04-09,2250,10709,4.45170205826944,720,146,16,44,485.0,Monday
99,2018-04-10,2136,8347,3.46982372809488,871,138,15,37,371.0,Tuesday
100,2018-04-11,2567,15457,6.42543172625016,626,195,41,57,506.0,Wednesday
101,2018-04-12,2125,8416,3.4985062223176,677,169,3,7,545.0,Thursday
102,2018-04-13,1999,6701,2.78558219888832,911,105,9,33,366.0,Friday
103,2018-04-14,1930,4865,2.02236439117856,660,143,7,5,593.0,Saturday
104,2018-04-15,1723,1969,0.81850741637392,770,83,0,0,546.0,Sunday
105,2018-04-16,2503,13378,5.61540602664704,647,231,14,55,468.0,Monday
106,2018-04-17,2314,10806,4.58900023685376,770,188,19,29,408.0,Tuesday
107,2018-04-18,2503,15019,6.24335753957032,743,134,46,75,425.0,Wednesday
108,2018-04-19,2539,14481,6.01970740643376,654,227,23,55,466.0,Thursday
109,2018-04-20,2086,7711,3.2054364996108,793,142,8,27,451.0,Friday
110,2018-04-21,1788,3459,1.43789643427144,784,99,0,0,551.0,Saturday
111,2018-04-22,1508,6,0.00249169847992,1439,1,0,0,,Sunday
112,2018-04-23,2301,11936,4.96176081493456,1239,127,22,52,,Monday
113,2018-04-24,2099,8121,3.37587240386448,898,146,15,20,341.0,Tuesday
114,2018-04-25,2202,10092,4.19521245763568,1254,136,13,37,,Wednesday
115,2018-04-26,2467,13287,5.523368525688,725,239,28,33,384.0,Thursday
116,2018-04-27,1916,5004,2.08014569832264,701,116,10,12,586.0,Friday
117,2018-04-28,1877,4478,1.86149138956976,698,136,9,0,558.0,Saturday
118,2018-04-29,1921,5374,2.2339537094784,812,92,25,14,468.0,Sunday
119,2018-04-30,2069,7380,3.06784627656624,755,127,18,30,483.0,Monday
120,2018-05-01,2119,8185,3.40247951830592,820,131,34,25,419.0,Tuesday
121,2018-05-02,2201,9787,4.06842787962,751,125,34,38,471.0,Wednesday
122,2018-05-03,2087,8105,3.36922373211008,1034,122,27,24,217.0,Thursday
123,2018-05-04,2033,7344,3.05287744455096,1095,104,23,23,185.0,Friday
124,2018-05-05,2223,10023,4.16652996341296,636,137,29,35,577.0,Saturday
125,2018-05-06,1888,4508,1.8739623093932,834,117,4,6,452.0,Sunday
126,2018-05-07,1941,6025,2.50457329101824,902,23,3,10,475.0,Monday
127,2018-05-08,2207,9547,3.96866052103248,1440,0,0,0,,Tuesday
128,2018-05-09,1511,0,0.0,1440,0,0,0,,Wednesday
129,2018-05-10,1512,0,0.0,1440,0,0,0,,Thursday
130,2018-05-11,2083,6817,2.83380681709944,1440,0,0,0,,Friday
131,2018-05-12,1551,236,0.09810208379296,1440,0,0,0,,Saturday
132,2018-05-13,1512,0,0.0,1440,0,0,0,,Sunday
133,2018-05-14,1549,389,0.16170563900608,1434,6,0,0,,Monday
134,2018-05-15,1512,0,0.0,1440,0,0,0,,Tuesday
135,2018-05-16,1513,0,0.0,1440,0,0,0,,Wednesday
136,2018-05-17,1801,2680,1.11406883756064,1319,121,0,0,,Thursday
137,2018-05-18,1512,0,0.0,1440,0,0,0,,Friday
138,2018-05-19,1512,0,0.0,1440,0,0,0,,Saturday
139,2018-05-20,1512,0,0.0,1440,0,0,0,,Sunday
140,2018-05-21,1512,0,0.0,1440,0,0,0,,Monday
141,2018-05-22,1512,0,0.0,1440,0,0,0,,Tuesday
142,2018-05-23,1512,0,0.0,1440,0,0,0,,Wednesday
143,2018-05-24,1512,0,0.0,1440,0,0,0,,Thursday
144,2018-05-25,1512,0,0.0,1440,0,0,0,,Friday
145,2018-05-26,1512,0,0.0,1440,0,0,0,,Saturday
146,2018-05-27,1512,0,0.0,1440,0,0,0,,Sunday
147,2018-05-28,1512,0,0.0,1440,0,0,0,,Monday
148,2018-05-29,1512,0,0.0,1440,0,0,0,,Tuesday
149,2018-05-30,1512,2688,1.11406883756064,1440,0,0,0,,Wednesday
150,2018-05-31,1556,380,0.16128932030744,1422,18,0,0,,Thursday
151,2018-06-01,1879,3002,1.24791840602936,704,168,0,0,513.0,Friday
152,2018-06-02,1901,3961,1.6465715216808,982,158,0,0,291.0,Saturday
153,2018-06-03,1881,4199,1.74551245658296,787,132,7,1,496.0,Sunday
154,2018-06-04,2187,8032,3.3388759630928,1188,241,7,4,,Monday
155,2018-06-05,1809,3276,1.36182195923488,713,117,0,0,591.0,Tuesday
156,2018-06-06,2230,8497,3.53217832721208,857,244,15,10,300.0,Wednesday
157,2018-06-07,1517,13,0.00539971565848,978,0,0,0,442.0,Thursday
158,2018-06-08,1512,0,0.0,1440,0,0,0,,Friday
159,2018-06-09,1945,5188,2.15663649205784,1281,135,13,11,,Saturday
160,2018-06-10,1771,2454,1.02011751333024,1210,107,0,0,116.0,Sunday
161,2018-06-11,2008,4873,2.02568872705576,633,197,10,1,553.0,Monday
162,2018-06-12,1981,4337,1.8028774450284,889,194,0,0,339.0,Tuesday
163,2018-06-13,2088,5914,2.45843026630032,710,214,16,6,459.0,Wednesday
164,2018-06-14,1944,4694,1.95127952681376,907,170,0,0,347.0,Thursday
165,2018-06-15,2112,5782,2.4035569763348,1180,260,0,0,,Friday
166,2018-06-16,2065,6069,2.52286645891072,760,188,9,13,453.0,Saturday
167,2018-06-17,1856,3625,1.50689970514304,606,127,20,0,581.0,Sunday
168,2018-06-18,2440,11840,5.2679538972164,841,233,13,29,389.0,Monday
169,2018-06-19,1909,4009,1.66652996436784,693,119,13,11,520.0,Tuesday
170,2018-06-20,2258,9139,4.23537167777464,814,179,8,30,426.0,Wednesday
171,2018-06-21,2203,6900,2.8683115593912,720,298,0,0,367.0,Thursday
172,2018-06-22,1949,4440,1.84569613386912,917,173,0,0,399.0,Friday
173,2018-06-23,2043,6561,2.7273845730456,1126,180,0,0,126.0,Saturday
174,2018-06-24,1834,2704,1.12404184519224,547,153,0,0,617.0,Sunday
175,2018-06-25,2089,5551,2.30753027232312,667,254,0,0,409.0,Monday
176,2018-06-26,2346,8697,3.61531779270168,706,352,7,3,496.0,Tuesday
177,2018-06-27,2160,6556,2.72530919326432,735,283,0,0,364.0,Wednesday
178,2018-06-28,2156,6693,2.78225786301112,747,271,0,0,418.0,Thursday
179,2018-06-29,2182,7300,3.0345904903704,816,278,0,0,391.0,Friday
180,2018-06-30,1668,1285,0.53416795891472,797,73,0,0,551.0,Saturday
181,2018-07-01,1695,1853,0.7702827981628,705,83,0,0,579.0,Sunday
182,2018-07-02,2018,4823,2.00490386068336,839,231,0,0,414.0,Monday
183,2018-07-03,2346,9447,3.9270907882876798,777,342,13,0,300.0,Tuesday
184,2018-07-04,2218,7839,3.25865072849368,1049,307,0,0,,Wednesday
185,2018-07-05,2260,9014,3.74709198138912,693,289,0,0,448.0,Thursday
186,2018-07-06,2232,7952,3.30562017689696,760,315,0,0,421.0,Friday
187,2018-07-07,1657,1935,0.80437122175592,734,67,0,0,631.0,Saturday
188,2018-07-08,1593,790,0.32840088868392,1336,46,0,0,,Sunday
189,2018-07-09,2324,9828,4.5122733220656,767,247,4,24,409.0,Monday
190,2018-07-10,2003,4947,2.05645281477168,758,222,0,0,386.0,Tuesday
191,2018-07-11,2172,6684,2.77851720843528,803,281,0,0,428.0,Wednesday
192,2018-07-12,2174,7695,3.1987878278564,815,269,0,0,347.0,Thursday
193,2018-07-13,2331,10979,4.5639403366804,566,242,16,33,568.0,Friday
194,2018-07-14,1711,2318,0.96358516228208,1116,68,11,3,176.0,Saturday
195,2018-07-15,1722,1647,0.68465163419328,563,109,0,0,752.0,Sunday
196,2018-07-16,1678,2167,0.90081424446624,780,73,0,0,566.0,Monday
197,2018-07-17,1749,2503,1.040486061004,1184,89,7,2,155.0,Tuesday
198,2018-07-18,1614,971,0.40363651261128,1386,54,0,0,,Wednesday
199,2018-07-19,1614,838,0.34835311765904,1380,60,0,0,,Thursday
200,2018-07-20,2303,9104,3.78450474085944,756,324,0,0,347.0,Friday
201,2018-07-21,1494,0,0.0,1128,0,0,0,310.0,Saturday
202,2018-07-22,1651,1963,0.81600950418208,1214,52,0,0,99.0,Sunday
203,2018-07-23,2004,4762,1.97954570233784,780,227,0,0,418.0,Monday
204,2018-07-24,1919,4482,1.8631504506524,783,171,0,0,447.0,Tuesday
205,2018-07-25,1943,4532,1.8839353170247999,700,189,0,0,460.0,Wednesday
206,2018-07-26,1897,4409,1.83280889534704,810,157,6,0,529.0,Thursday
207,2018-07-27,2068,5424,2.2547385758508,1187,253,0,0,,Friday
208,2018-07-28,1883,3561,1.4802925907016,1262,178,0,0,,Saturday
209,2018-07-29,1646,1340,0.55703441878032,686,65,0,0,649.0,Sunday
210,2018-07-30,2288,9777,4.46941113724144,716,215,2,27,388.0,Monday
211,2018-07-31,2498,12500,5.4545827347336,708,289,23,28,402.0,Tuesday
212,2018-08-01,2355,10803,4.8359145074188,613,240,10,27,455.0,Wednesday
213,2018-08-02,2114,6087,2.5303477680624,642,269,0,0,526.0,Thursday
214,2018-08-03,2449,11455,4.76180977906088,616,369,0,0,466.0,Friday
215,2018-08-04,1795,2891,1.20177538131144,785,127,0,0,595.0,Saturday
216,2018-08-05,1548,375,0.15588339093704,724,24,0,0,563.0,Sunday
217,2018-08-06,2264,8755,3.63942699495128,744,308,7,0,452.0,Monday
218,2018-08-07,2052,5460,2.26970740786608,746,239,0,0,393.0,Tuesday
219,2018-08-08,2212,8867,3.68598633836784,670,242,14,2,454.0,Wednesday
220,2018-08-09,2143,6459,2.68498841661544,793,276,0,0,467.0,Thursday
221,2018-08-10,2426,11505,4.78259464543328,735,298,31,16,352.0,Friday
222,2018-08-11,2180,8047,3.34511452986048,795,215,37,6,362.0,Saturday
223,2018-08-12,1725,1818,0.75573649855808,833,106,0,0,476.0,Sunday
224,2018-08-13,1901,4331,1.80037953283656,709,148,10,1,547.0,Monday
225,2018-08-14,1962,4730,1.96624835882904,878,190,0,0,377.0,Tuesday
226,2018-08-15,2142,6726,2.79597773893048,749,268,0,0,403.0,Wednesday
227,2018-08-16,2208,7176,2.98304153628208,677,298,10,2,404.0,Thursday
228,2018-08-17,2442,11950,4.9675830630036,724,324,18,6,397.0,Friday
229,2018-08-18,1877,3846,1.59876943588024,644,162,0,0,600.0,Saturday
230,2018-08-19,1573,490,0.20369169044951999,558,34,0,0,767.0,Sunday
231,2018-08-20,1772,2330,0.96857477295384,697,121,0,0,602.0,Monday
232,2018-08-21,1865,3811,1.5842169225636,768,143,7,0,503.0,Tuesday
233,2018-08-22,2268,9614,3.99651037785792,1149,264,26,1,,Wednesday
234,2018-08-23,2179,7834,3.25656913500048,1172,268,0,0,,Thursday
235,2018-08-24,2257,10399,4.32283588676056,1217,177,15,31,,Friday
236,2018-08-25,1981,4490,1.86648100024152,1214,226,0,0,,Saturday
237,2018-08-26,2365,10318,4.28916378186608,813,310,27,8,268.0,Sunday
238,2018-08-27,1742,2305,0.95817923291168,795,103,0,0,539.0,Monday
239,2018-08-28,2453,14618,6.07666228989248,626,112,23,101,493.0,Tuesday
240,2018-08-29,2485,14674,6.44686903237416,692,127,24,89,559.0,Wednesday
241,2018-08-30,2204,10095,4.2146675896572,660,152,17,35,568.0,Thursday
242,2018-08-31,1975,6148,2.55570592640792,808,142,5,17,441.0,Friday
243,2018-09-01,1636,1150,0.4780519265652,656,65,0,0,695.0,Saturday
244,2018-09-02,2024,5880,2.44430028539424,686,201,23,3,505.0,Sunday
245,2018-09-03,2132,8526,3.54423292833688,848,140,12,48,386.0,Monday
246,2018-09-04,2118,9026,3.75208159206088,735,124,9,47,507.0,Tuesday
247,2018-09-05,2042,8013,3.33097833524248,1117,102,8,46,119.0,Wednesday
248,2018-09-06,2148,9885,4.10916497496752,727,88,18,66,567.0,Thursday
249,2018-09-07,2193,9980,4.14865932793104,624,144,23,40,585.0,Friday
250,2018-09-08,2013,6326,2.62969880795128,937,161,12,13,301.0,Saturday
251,2018-09-09,1636,1026,0.42650297247688,742,66,0,0,594.0,Sunday
252,2018-09-10,2361,13675,6.0257968441153595,875,64,22,93,309.0,Monday
253,2018-09-11,2710,18816,8.3860877443512,637,134,41,101,586.0,Tuesday
254,2018-09-12,2108,8608,3.57832135193,661,142,8,41,564.0,Wednesday
255,2018-09-13,2535,16736,6.95710798668496,685,104,34,108,503.0,Thursday
256,2018-09-14,2117,9526,3.95993025578488,714,114,23,46,503.0,Friday
257,2018-09-15,1551,563,0.23403324575488,764,33,0,0,608.0,Saturday
258,2018-09-16,1903,5128,2.13169465241096,522,133,34,7,644.0,Sunday
259,2018-09-17,2364,12952,5.80249467884632,881,115,21,75,437.0,Monday
260,2018-09-18,2332,12868,5.5894886342287196,774,105,23,82,447.0,Tuesday
261,2018-09-19,2167,10956,4.55437743403552,818,77,35,61,435.0,Wednesday
262,2018-09-20,2186,10423,4.33280889439216,1221,148,25,46,,Thursday
263,2018-09-21,1924,4329,1.7995531091512,676,202,0,0,525.0,Friday
264,2018-09-22,1786,3412,1.41835431028304,847,134,0,0,370.0,Saturday
265,2018-09-23,1899,4295,1.7854169145332,634,196,0,0,638.0,Sunday
266,2018-09-24,2386,14243,5.92077268524352,844,112,38,85,389.0,Monday
267,2018-09-25,2310,12358,5.13718632986,873,134,23,73,327.0,Tuesday
268,2018-09-26,2076,9224,3.8343884201532,787,86,16,56,462.0,Wednesday
269,2018-09-27,2027,8408,3.4951818864404,765,67,21,54,533.0,Thursday
270,2018-09-28,1691,2307,0.95901187030896,1344,96,0,0,,Friday
271,2018-09-29,1908,4617,1.91927269671384,755,178,0,0,483.0,Saturday
272,2018-09-30,1678,1977,0.82183175225112,840,87,0,0,482.0,Sunday
273,2018-10-01,2088,8850,3.6789213479148,869,119,23,41,369.0,Monday
274,2018-10-02,2246,12120,5.03825160866976,831,99,24,78,391.0,Tuesday
275,2018-10-03,2077,9319,3.87388277311672,912,94,16,49,343.0,Wednesday
276,2018-10-04,1824,4227,1.7571507390091199,851,123,1,10,416.0,Thursday
277,2018-10-05,1859,4753,1.975805047762,797,149,0,0,488.0,Friday
278,2018-10-06,1866,4184,1.73927388981528,832,175,0,0,414.0,Saturday
279,2018-10-07,1519,642,0.26687271325208,798,30,0,0,596.0,Sunday
280,2018-10-08,1910,4271,1.77543769318968,607,209,0,0,592.0,Monday
281,2018-10-09,2188,9298,3.86515250786912,781,195,15,44,355.0,Tuesday
282,2018-10-10,2097,9742,4.04971839302888,898,108,10,61,350.0,Wednesday
283,2018-10-11,1960,7410,3.08031719638968,716,84,12,45,565.0,Thursday
284,2018-10-12,2394,14366,6.58410507383928,715,117,18,66,498.0,Friday
285,2018-10-13,1970,5962,2.9494626370664,855,118,3,28,426.0,Saturday
286,2018-10-14,1993,7078,3.27364441535664,771,132,3,18,484.0,Sunday
287,2018-10-15,2300,13174,5.4763928635728,698,159,18,57,457.0,Monday
288,2018-10-16,2127,9448,3.92750710698632,670,147,8,54,541.0,Tuesday
289,2018-10-17,2014,8212,3.41370148203344,977,100,11,39,308.0,Wednesday
290,2018-10-18,2234,10804,4.49119019752104,905,170,18,41,278.0,Thursday
291,2018-10-19,2192,8858,3.682245683792,710,257,14,20,443.0,Friday
292,2018-10-20,1805,5607,2.34777648442896,1205,70,1,14,142.0,Saturday
293,2018-10-21,1488,238,0.09893472119024,1190,11,0,0,239.0,Sunday
294,2018-10-22,2197,11730,4.87612965096504,1256,87,29,68,,Monday
295,2018-10-23,2194,10464,4.34985310618872,732,150,9,50,475.0,Tuesday
296,2018-10-24,1960,6066,2.5216175028148,863,153,18,11,332.0,Wednesday
297,2018-10-25,1862,4167,1.73220889936224,713,169,0,0,523.0,Thursday
298,2018-10-26,1995,5989,2.48961067271488,594,226,0,0,587.0,Friday
299,2018-10-27,1681,2747,1.14191869438608,1358,82,0,0,,Saturday
300,2018-10-28,1692,2432,1.010970929384,736,102,0,0,586.0,Sunday
301,2018-10-29,2348,13289,5.75842703390968,810,156,21,59,376.0,Monday
302,2018-10-30,2101,9540,4.00064870999664,763,97,8,62,454.0,Tuesday
303,2018-10-31,2274,11455,5.1290152986852,773,154,11,50,479.0,Wednesday
